,BA,JNJ,JPM,NVDA,PG,WMT,XOM,AAPL,AMZN,GOOGL,META,MSFT,TSLA
BA,0.000541778431454365,2.572898367304106e-05,0.00013264627900948966,0.00028775014022987364,3.445554505645823e-05,4.320454120988419e-05,7.882329792621744e-05,0.00015546002825525922,0.00020862959522870606,0.0001568783132462367,0.00020399875909430466,0.00012536443795006387,0.00028090554057763395
JNJ,2.572898367304106e-05,0.00010641677140553639,4.2780624322949764e-05,-2.1151902261989495e-05,4.956927090871354e-05,3.36516297684023e-05,2.1098854995292763e-05,3.253943656374958e-05,1.8355441468664146e-05,2.10844557804362e-05,1.6722687208361756e-05,2.388069232327969e-05,1.078750314068759e-06
JPM,0.00013264627900948966,4.2780624322949764e-05,0.0002478430272354093,0.00017946779218526405,3.7056781833876596e-05,3.5465622816813205e-05,8.075083789291001e-05,9.427965413922161e-05,0.00013289682296467302,0.00010525269550044779,0.000131427539021662,9.066256209606294e-05,0.0001842657171694501
NVDA,0.00028775014022987364,-2.1151902261989495e-05,0.00017946779218526405,0.0012122541227010317,2.9456718319090655e-05,5.400498851639226e-05,3.6728093355297144e-05,0.0003296266820435083,0.0004679796095974473,0.0003940612082503701,0.000537092089354424,0.00038586580270060075,0.0006171209712437569
PG,3.445554505645823e-05,4.956927090871354e-05,3.7056781833876596e-05,2.9456718319090655e-05,0.00012275932906980234,5.344229915021853e-05,7.88736411022242e-06,5.427830078842657e-05,3.5130434340561344e-05,3.996631248546736e-05,4.875610419444734e-05,5.332271580265097e-05,2.3264426396861002e-05
WMT,4.320454120988419e-05,3.36516297684023e-05,3.5465622816813205e-05,5.400498851639226e-05,5.344229915021853e-05,0.00016883394708978712,2.816692887213046e-05,5.3660841301794626e-05,8.159647198926001e-05,5.4658872841650835e-05,5.7779506458601426e-05,5.423926934301121e-05,8.142925291800251e-05
XOM,7.882329792621744e-05,2.1098854995292763e-05,8.075083789291001e-05,3.6728093355297144e-05,7.88736411022242e-06,2.816692887213046e-05,0.0002941355291796596,4.966001326092654e-05,4.140786998631116e-05,2.7104034104626387e-05,2.5963680992962408e-05,2.2045904640149232e-05,4.19195224925478e-05
AAPL,0.00015546002825525922,3.253943656374958e-05,9.427965413922161e-05,0.0003296266820435083,5.427830078842657e-05,5.3660841301794626e-05,4.966001326092654e-05,0.0002912925186683242,0.00023219004069391263,0.00021911749830429142,0.0002633044509851478,0.00020303723562314422,0.00032925757086845647
AMZN,0.00020862959522870606,1.8355441468664146e-05,0.00013289682296467302,0.0004679796095974473,3.5130434340561344e-05,8.159647198926001e-05,4.140786998631116e-05,0.00023219004069391263,0.000583076496301431,0.000323629472627581,0.00044381609915567833,0.0002891326637015855,0.0004187946871013439
GOOGL,0.0001568783132462367,2.10844557804362e-05,0.00010525269550044779,0.0003940612082503701,3.996631248546736e-05,5.4658872841650835e-05,2.7104034104626387e-05,0.00021911749830429142,0.000323629472627581,0.0004254658756767536,0.0003781963046623823,0.00024875858668590767,0.00032139084831051386
META,0.00020399875909430466,1.6722687208361756e-05,0.000131427539021662,0.000537092089354424,4.875610419444734e-05,5.7779506458601426e-05,2.5963680992962408e-05,0.0002633044509851478,0.00044381609915567833,0.0003781963046623823,0.0009420060895909839,0.0003165436100717963,0.00037618060314145664
MSFT,0.00012536443795006387,2.388069232327969e-05,9.066256209606294e-05,0.00038586580270060075,5.332271580265097e-05,5.423926934301121e-05,2.2045904640149232e-05,0.00020303723562314422,0.0002891326637015855,0.00024875858668590767,0.0003165436100717963,0.0003017735987972694,0.00028148102809181304
TSLA,0.00028090554057763395,1.078750314068759e-06,0.0001842657171694501,0.0006171209712437569,2.3264426396861002e-05,8.142925291800251e-05,4.19195224925478e-05,0.00032925757086845647,0.0004187946871013439,0.00032139084831051386,0.00037618060314145664,0.00028148102809181304,0.001491331421099706
