Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,178.2703094482422,170.4044952392578,143.99832153320312,336.4658203125,323.8984069824219,399.9266662597656,179.12244407617163,170.70350646972656,144.8519311224432,338.9902362425969,327.04305171040653,400.3566589355469,174.05867174915193,166.16050720214844,142.72857575378174,335.12408551135024,319.0895183249568,378.67999267578125,174.17620137564992,167.5500030517578,144.0613784409724,336.2272701347971,324.4789626840154,382.5833435058594,104487900,63520000,28646000,14537900,28865100,103931400
2022-01-04,176.00778198242188,167.52200317382812,143.41038513183594,334.46807861328125,318.3445129394531,383.1966552734375,179.18121654083714,171.39999389648438,145.4815947191956,340.98788305000136,324.33385446042155,402.6666564941406,175.43969718796814,166.34950256347656,142.73206493911738,329.83662680556665,315.54818371439364,374.3500061035156,178.87758836256972,170.43800354003906,144.40004976188612,337.86713760996855,323.9758239234221,396.51666259765625,99310400,70726000,28400000,15998000,32674300,100248300
2022-01-05,171.32598876953125,164.35699462890625,136.8312530517578,322.1838684082031,306.1239013671875,362.7066650390625,176.46811917460536,167.12649536132812,143.50969364455202,333.70285443499347,315.4997826044344,390.11334228515625,171.0517430102158,164.35699462890625,136.74485856797526,321.8558732876107,305.73687408915134,360.336669921875,175.91962765597447,166.88299560546875,143.43073990652238,330.9796214127639,315.2965689226274,382.2166748046875,94537600,64302000,54618000,20564500,40054300,80119800
2022-01-06,168.4659881591797,163.25399780273438,136.80393981933594,330.42303466796875,303.7049255371094,354.8999938964844,171.69818743268368,164.8000030517578,138.98142624455608,337.0919448522891,308.3686822043641,362.6666564941406,168.1133843303379,161.93699645996094,135.6230889673093,320.7427206043337,301.392388231309,340.1666564941406,169.15160256379613,163.45050048828125,136.06007743230046,320.8421139781479,302.9985793895527,359.0,96904000,51958000,37348000,27962800,39646100,90336600
2022-01-07,168.63246154785156,162.5540008544922,136.0784454345703,329.75714111328125,303.85980224609375,342.32000732421875,170.56198561495097,165.24349975585938,137.50014307479,334.93521110696696,306.2400483826627,360.30999755859375,167.51588545861432,162.031005859375,134.836507719824,326.8649669563357,300.0378372243138,336.6666564941406,169.33766907213513,163.83900451660156,137.1992096234285,330.701302293414,303.96622221255154,360.1233215332031,86709100,46606000,29760000,14722000,32720000,84164700
2022-01-10,168.652099609375,161.48599243164062,137.7196502685547,326.0599060058594,304.082275390625,352.7066650390625,168.95572780142643,161.6614990234375,137.86863190620056,326.3282407833615,304.51769951844926,353.0333251953125,164.7146923768041,156.30450439453125,132.25236816890182,313.4973373584024,294.81284395605223,326.6666564941406,165.60599864366586,160.5854949951172,134.1527592080336,323.31680695790044,299.4572301875026,333.3333435058594,106765600,87798000,44408000,24942400,44289500,91815000
2022-01-11,171.48269653320312,165.36199951171875,138.77880859375,332.3212890625,304.76922607421875,354.79998779296875,171.58063290230876,166.35000610351562,139.25553153130753,332.5797057318876,306.3463611573554,358.6166687011719,167.3102305884416,160.70150756835938,135.75616876669966,323.2869877056378,299.8442334063924,346.2733459472656,168.77941063247667,161.5,137.0616634231231,324.7777971110064,303.2210877642495,351.22332763671875,76138300,62806000,28730000,16226800,29386800,66063300
2022-01-12,171.92344665527344,165.20700073242188,140.46170043945312,331.2181701660156,307.9526062011719,368.739990234375,173.5395387171234,166.8780059814453,141.6311400459877,334.30910105241895,312.9259965978094,371.61334228515625,171.22804314076478,164.41700744628906,139.73074953971891,328.0079490258911,306.8011801608075,357.5299987792969,172.5013205493631,166.5749969482422,140.1831195548113,333.12638959714155,309.3072459156857,359.6166687011719,74805200,50030000,26108000,14104900,34372200,83739000
2022-01-13,168.652099609375,161.21400451660156,137.63771057128906,324.47967529296875,294.919189453125,343.85333251953125,172.9910714162829,166.22149658203125,141.871510304291,333.5736073823922,310.4779355044873,371.8666687011719,168.26030924441002,161.09100341796875,137.46092086663876,323.764085503571,294.145135119386,342.17999267578125,172.16833406776786,165.25050354003906,140.57047082946312,332.9275959839103,310.081223061755,369.69000244140625,84505800,52188000,31436000,14797100,45366000,97209900
2022-01-14,169.51400756835938,162.13800048828125,138.5250701904297,329.866455078125,300.14422607421875,349.8699951171875,170.20941111487983,162.25,139.77793411889562,330.6913866843799,300.7441227450604,350.6666564941406,167.57467907053888,159.80050659179688,136.06007700509608,319.24194988086674,293.9033045852905,337.7933349609375,167.81954242119846,160.14999389648438,136.14001576725417,319.8184132277481,294.38709603316755,339.9599914550781,80440800,45974000,29662000,16868500,39846400,72924300
2022-01-18,166.3112335205078,158.91749572753906,135.0664520263672,316.2007141113281,292.8389892578125,343.5033264160156,168.994926968818,159.7344970703125,136.19218701307207,322.223582545403,299.7572018071977,356.92999267578125,165.92924719306995,157.6645050048828,134.51079038865421,315.69385946569565,291.95848518377585,338.6866760253906,167.9860909003212,159.10499572753906,135.24224156457512,321.309236297588,294.2129701112616,342.2033386230469,90956700,67292000,34872000,22645600,42333200,66743400
2022-01-19,162.81451416015625,156.2989959716797,134.1909637451172,317.63189697265625,293.4969482421875,331.8833312988281,167.56486853489844,159.25,137.01449172836578,325.09589357916025,303.73399326140634,351.5566711425781,162.5304792855551,156.25,134.09065764793374,317.37348026364396,292.887395735505,331.6666564941406,166.50705720159695,158.76199340820312,135.58832360539645,317.6219485359713,296.3610152786243,347.2366638183594,94815000,53242000,28648000,20814700,45933900,75442500
2022-01-20,161.12986755371094,151.66749572753906,132.3943634033203,314.6204833984375,291.8230285644531,332.0899963378906,166.19363965286126,158.0,136.6832943570819,325.81150482519354,301.54722556520954,347.2200012207031,160.8066461501134,151.3509979248047,132.0537105865044,314.0440503142256,291.37794866784134,331.3333435058594,163.54911855874857,156.76600646972656,135.31671267129403,321.91550871363853,299.0508745044083,336.57666015625,91420500,71974000,29908000,16925000,35380700,70488600
2022-01-21,159.07305908203125,142.64300537109375,129.45863342285156,301.3124694824219,286.43359375,314.6333312988281,162.91251531175593,150.89999389648438,133.9417062613784,316.35968986815874,294.25165138229846,334.8500061035156,158.96531859071325,142.07049560546875,129.19544919822619,301.1832611486486,286.0271958983454,313.5,161.04175539217772,149.9499969482422,131.68528077084795,312.8811346137491,292.8777000608215,332.11334228515625,122848900,163972000,55652000,28710700,57984400,103416000
2022-01-24,158.2992706298828,144.54400634765625,129.90802001953125,306.8185119628906,286.7625427246094,310.0,158.96530678454897,144.94500732421875,130.30428901156284,307.63349506670795,287.4785446299873,311.1700134277344,151.52145417153005,135.3520050048828,123.64720029032809,287.23923291473017,267.1012508783427,283.8233337402344,156.73215398969816,139.0,125.11507313847382,296.0151177767175,282.7277385199471,301.586669921875,162294600,155624000,76622000,38878100,85731500,151565700
2022-01-25,156.49708557128906,139.98599243164062,126.06551361083984,298.31103515625,279.1380310058594,306.1333312988281,159.41585293852967,143.60000610351562,128.5126400999818,304.3538012022973,285.42732097416655,317.086669921875,153.79379917867107,138.14500427246094,125.63399580516415,295.75677375083,275.9256776481644,301.07000732421875,155.7135197495045,142.24249267578125,127.85815753662722,298.1122787144503,282.0698065330309,304.73333740234375,115798400,90824000,46960000,25108500,72848600,86595900
2022-01-26,156.40892028808594,138.87249755859375,128.3477783203125,292.8248596191406,287.09149169921875,312.4700012207031,161.01234841002858,145.18499755859375,132.0889733339284,305.6259510191952,298.49930147235415,329.2300109863281,154.57734716045317,137.31849670410156,126.27109790890478,289.0680202152639,283.5307939904859,302.0,160.14063545703362,144.75,130.2208611272421,305.12901442963164,298.00582478261947,317.4766540527344,108275300,95602000,49130000,28348800,90428900,104867400
2022-01-27,155.9486083984375,139.6374969482422,128.12132263183594,292.83477783203125,290.1200866699219,276.3666687011719,160.47367939334515,144.24349975585938,131.74382882791292,299.86143743195197,297.33824766891416,311.7966613769531,155.02791959361053,139.35000610351562,128.0493095569631,292.4571012100481,288.27199957427445,276.3333435058594,159.1122394434115,140.8000030517578,130.40457051733026,295.92570854139984,292.84867784956623,311.1199951171875,121954600,77516000,31950000,21629900,53481300,147109500
2022-01-28,166.8302764892578,143.97799682617188,132.43756103515625,299.8614196777344,298.26715087890625,282.1166687011719,166.84986973924165,143.9980010986328,132.44303172603193,300.0502579775452,298.4800203242128,285.8333435058594,159.45499459640672,137.92950439453125,127.60489516569507,291.2346091634408,284.90483174909696,264.0033264160156,162.30520718558986,140.86050415039062,128.7708494185611,293.8087366396124,290.49746041765246,277.1866760253906,179935700,74392000,34362000,21871600,49743700,134789100
2022-01-31,171.18887329101562,149.57350158691406,134.37667846679688,311.3406677246094,300.89886474609375,312.239990234375,171.4043542462614,150.36050415039062,134.5450272244261,311.86741920483496,302.25347455772607,312.663330078125,166.02714940989443,144.30050659179688,131.30387795487317,297.48607558743464,296.4382933508896,287.3500061035156,166.66380312140188,144.75,133.24300286957987,298.83772831759944,298.93467313715706,290.9033203125,115541600,78308000,39986000,21579500,46444500,104436000
2022-02-01,171.0223846435547,151.19349670410156,136.701171875,317.0455017089844,298.7508850097656,310.4166564941406,171.2476547749565,151.70799255371094,136.84915332501947,317.70146155908856,300.5602601832143,314.5666809082031,168.76963849371157,147.62750244140625,133.44811073772078,310.2076502988541,295.23855460093705,301.6666564941406,170.43470653654342,150.0,136.65201142196742,312.63270295780956,300.34739077879186,311.7366638183594,86213900,59220000,68644000,18023800,40950400,73138200
2022-02-02,172.2270965576172,150.6125030517578,146.98623657226562,321.02099609375,303.2985534667969,301.88665771484375,172.266283066221,155.0749969482422,150.50843749823036,325.9903613583591,304.90474476135483,310.5,169.7686736999572,148.86349487304688,144.5257135029297,314.92854942644345,298.8670363988058,296.4700012207031,171.15949584991125,155.05050659179688,150.2139748753728,325.81147148817684,299.59272363577713,309.3933410644531,84914300,87330000,123200000,58458300,36636000,66792900
2022-02-03,169.34750366210938,138.8455047607422,142.10986328125,236.3032684326172,291.48431396484375,297.0466613769531,172.61888970067017,144.24749755859375,148.64976423703735,246.48053467886555,301.1408007887822,312.3333435058594,168.5835311300311,138.33299255371094,141.68827149204583,234.30558891347803,290.2361239043447,293.50665283203125,170.8950419808838,141.7375030517578,144.7074566884206,243.15105364833332,299.4571866637444,294.0,89418100,225532000,71518000,188119900,43730000,78855600
2022-02-04,169.06307983398438,157.63949584960938,142.31146240234375,235.63734436035156,296.0223083496094,307.7733459472656,170.74008547588204,161.1999969482422,143.88262665253944,241.12352753008244,298.78958120984197,312.1666564941406,167.38607419208668,150.60800170898438,139.5524914323561,228.70011511285568,290.24583738111943,293.72332763671875,168.36677539536157,155.60650634765625,142.46192913434274,233.5303384672854,290.478047823017,299.0733337402344,82465400,253456000,57998000,89342200,35096500,73625400
